NodeID,SpeciesID,StageID,Stage,Species.StageID,WorkingName,OrganismalGroup,NodeType,Resolution,ResolutionNotes,Feeding,Lifestyle(stage),Lifestyle(species),ConsumerStrategy(stage),System,HabitatAffiliation,Mobility,Residency,NativeStatus,BodySize(g),BodySizeEstimation,BodySizeNotes,BodySizeN,Biomass(kg/ha),BiomassEstimation,BiomassNotes,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Order,Suborder,Infraorder,Superfamily,Family,Genus,SpecificEpithet,Subspecies,NodeNotes
1,1,1,Adult,1.1,Phytoplankton,Plant,Common Name,Assemblage,,Autotroph,Free-Living,Free-Living,Autotroph,,,Low,Resident,,,,,,,,,Plantae,,,,,,,,,,,,,,
2,2,1,Adult,2.1,Epipellic Flora,Plant,Common Name,Assemblage,,Autotroph,Free-Living,Free-Living,Autotroph,,,Low,Resident,,,,,,,,,Plantae,,,,,,,,,,,,,,
3,3,1,Adult,3.1,Macroalgae/Seagrass,Plant,Common Name,Assemblage,,Autotroph,Free-Living,Free-Living,Autotroph,,,Low,Resident,,,,,,,,,Plantae,,,,,,,,,,,,,,
4,4,1,Adult,4.1,Zooplankton,Zooplankton,Common Name,Assemblage,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,,,,,,,,,,,,,,
5,5,1,Adult,5.1,Meiofauna,Meiofauna,Common Name,Assemblage,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,,,,,,,,,,,,,,
6,6,1,Adult,6.1,Bacteria,Bacteria,Common Name,Assemblage,,Feeding,Free-Living,Free-Living,Detrivtore,,,Low,Resident,,,,,,,,,Protista,,,,,,,,,,,,,,
7,7,1,Adult,7.1,Anthopleura aureoradiata,Anthozoan,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Cnidaria,,,Anthozoa,,,,,,,Anthopleura,aureoradiata,,
8,8,1,Adult,8.1,Edwardsia sp.,Anthozoan,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Cnidaria,,,Anthozoa,,,,,,,Edwardsia,sp.,,
9,9,1,Adult,9.1,Enopla 1,Nemertean,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Nemertinea,,,Enopla,,,,,,,,,,
10,10,1,Adult,10.1,Enopla 2,Nemertean,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Nemertinea,,,Enopla,,,,,,,,,,
11,11,1,Adult,11.1,Abarenicola affinis,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Abarenicola,affinis,,
12,12,1,Adult,12.1,Capitellid 1,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,Capitellidae,,,,
13,13,1,Adult,13.1,Capitellid 2,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,Capitellidae,,,,
14,14,1,Adult,14.1,Heteromastus filiformis,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Heteromastus,filiformis,,
15,15,1,Adult,15.1,Decamastus sp.,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Decamastus,sp.,,
16,16,1,Adult,16.1,Paraonis sp.,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,Paraonidae,Paraonis,sp.,,
17,17,1,Adult,17.1,Scoloplos johnstonei,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Scoloplos,johnstonei,,
18,18,1,Adult,18.1,Macroclymenella stewartensis,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Macroclymenella,stewartensis,,
