code;altitude;date;plant;stigma;receptor;donor;germ;non.germ;total
CT1.1.1;2000;17-dic-11;CT1.1;1;Cer.arv;Cer.arv;18;56;74
CT1.2.2;2000;17-dic-11;CT1.2;2;Cer.arv;Cer.arv;2;7;9
CT1.3.3;2000;17-dic-11;CT1.3;3;Cer.arv;Cer.arv;22;23;45
CT1.4.4;2000;17-dic-11;CT1.4;4;Cer.arv;Cer.arv;33;81;114
CT1.4.4;2000;17-dic-11;CT1.4;4;Cer.arv;Nas.pyg;0;3;3
CT1.5.5;2000;17-dic-11;CT1.5;5;Cer.arv;Cer.arv;62;71;133
CT1.5.5;2000;17-dic-11;CT1.5;5;Cer.arv;Nas.pyg;0;1;1
CT1.5.5;2000;17-dic-11;CT1.5;5;Cer.arv;Dis.nan;0;1;1
CT1.6.6;2000;17-dic-11;CT1.6;6;Cer.arv;Cer.arv;25;170;195
CT1.6.6;2000;17-dic-11;CT1.6;6;Cer.arv;Nas.pyg;0;2;2
CT1.7.7;2000;17-dic-11;CT1.7;7;Cer.arv;Cer.arv;33;86;119
CT1.7.7;2000;17-dic-11;CT1.7;7;Cer.arv;Nas.pyg;0;4;4
CT1.8.8;2000;17-dic-11;CT1.8;8;Cer.arv;Cer.arv;21;27;48
CT1.8.8;2000;17-dic-11;CT1.8;8;Cer.arv;Ore.gla;0;2;2
CT1.8.8;2000;17-dic-11;CT1.8;8;Cer.arv;Nas.pyg;0;1;1
CT1.9.9;2000;17-dic-11;CT1.9;9;Cer.arv;Cer.arv;31;9;40
CT1.10.10;2000;17-dic-11;CT1.10;10;Cer.arv;Cer.arv;26;14;40
CT1.11.11;2000;17-dic-11;CT1.11;11;Cer.arv;Cer.arv;41;51;92
CT1.12.12;2000;17-dic-11;CT1.12;12;Cer.arv;Cer.arv;2;8;10
CT1.13.13;2000;17-dic-11;CT1.13;13;Cer.arv;Cer.arv;4;1;5
CT1.14.14;2000;17-dic-11;CT1.14;14;Cer.arv;Cer.arv;1;0;1
CT1.15.15;2000;17-dic-11;CT1.15;15;Cer.arv;Cer.arv;31;6;37
CT1.16.16;2000;17-dic-11;CT1.16;16;Cer.arv;Cer.arv;73;145;218
CT2.1.1;2000;17-dic-11;CT2.1;1;Dra.gil;Dra.gil;27;17;44
CT2.2.2;2000;17-dic-11;CT2.2;2;Dra.gil;Dra.gil;37;19;56
CT2.3.3;2000;17-dic-11;CT2.3;3;Dra.gil;Dra.gil;17;7;24
CT2.4.4;2000;17-dic-11;CT2.4;4;Dra.gil;Dra.gil;1;1;2
CT2.5.5;2000;17-dic-11;CT2.5;5;Dra.gil;Dra.gil;0;10;10
CT2.6.6;2000;17-dic-11;CT2.6;6;Dra.gil;Dra.gil;31;16;47
CT2.7.7;2000;17-dic-11;CT2.7;7;Dra.gil;Dra.gil;0;2;2
CT2.8.8;2000;17-dic-11;CT2.8;8;Dra.gil;Dra.gil;0;0;0
CT2.9.9;2000;17-dic-11;CT2.9;9;Dra.gil;Dra.gil;44;31;75
CT2.9.9;2000;17-dic-11;CT2.9;9;Dra.gil;Nas.pyg;0;10;10
CT2.10.10;2000;17-dic-11;CT2.10;10;Dra.gil;Dra.gil;57;29;86
CT2.10.10;2000;17-dic-11;CT2.10;10;Dra.gil;Nas.pyg;0;10;10
CT2.11.11;2000;17-dic-11;CT2.11;11;Dra.gil;Dra.gil;0;62;62
CT2.12.12;2000;17-dic-11;CT2.12;12;Dra.gil;Dra.gil;26;10;36
CT2.13.13;2000;17-dic-11;CT2.13;13;Dra.gil;Dra.gil;45;40;85
CT2.13.13;2000;17-dic-11;CT2.13;13;Dra.gil;Nas.pyg;0;10;10
CT2.14.14;2000;17-dic-11;CT2.14;14;Dra.gil;Dra.gil;10;97;107
CT2.15.15;2000;17-dic-11;CT2.15;15;Dra.gil;Dra.gil;62;13;75
CT2.16.16;2000;17-dic-11;CT2.16;16;Dra.gil;Dra.gil;30;44;74
CT2.16.16;2000;17-dic-11;CT2.16;16;Dra.gil;Uni.unk;0;1;1
CT2.17.17;2000;17-dic-11;CT2.17;17;Dra.gil;Dra.gil;54;25;79
CT2.18.18;2000;17-dic-11;CT2.18;18;Dra.gil;Dra.gil;27;24;51
CT2.19.19;2000;17-dic-11;CT2.19;19;Dra.gil;Dra.gil;0;1;1
CT2.20.20;2000;17-dic-11;CT2.20;20;Dra.gil;Dra.gil;14;11;25
CT3M1.1.1;2000;17-dic-11;CT3M1.1;1;Oxa.ery;Oxa.ery;0;3;3
CT3M1.2.2;2000;17-dic-11;CT3M1.2;2;Oxa.ery;Oxa.ery;8;7;15
CT3M1.3.3;2000;17-dic-11;CT3M1.3;3;Oxa.ery;Oxa.ery;0;4;4
