from,to,weight
Calanus finnmarchicus,Phaeocystis pouchetii,1
Calanus finnmarchicus,Chaetoceros socialis,1
Calanus finnmarchicus,Thalassiosira nordenskioeldii,1
Calanus finnmarchicus,Fragilariopsis,1
Calanus finnmarchicus,Protoperidinium,1
Calanus finnmarchicus,Gymnodinium,1
Calanus finnmarchicus,Dinobryon balticum,1
Calanus finnmarchicus,Thalassiosira antarctica,1
Calanus finnmarchicus,Cylindrotheca closterium,1
Calanus finnmarchicus,Chaetoceros,1
Calanus finnmarchicus,Coccolithus pleagicus,1
Calanus finnmarchicus,Globoquadriana pachyderma,1
Calanus finnmarchicus,Globigerinita bradyi,1
Calanus finnmarchicus,Globigerina quinqueloba,1
Calanus finnmarchicus,Nitzschia frigida,1
Calanus finnmarchicus,Pleurosigma stuxbergii,1
Calanus finnmarchicus,Navicula pelagica,1
Calanus finnmarchicus,Entomoneis,1
Calanus finnmarchicus,Cocconeis,1
Calanus finnmarchicus,Dinophysis acuta,1
Calanus finnmarchicus,Onacea borealis,1
Calanus finnmarchicus,Bradyidius similis,1
Calanus finnmarchicus,Microcalanus pusillus,1
Calanus finnmarchicus,Copepoda nauplii,1
Calanus finnmarchicus,Metridia longa,1
Calanus finnmarchicus,Metridia lucens,1
Calanus finnmarchicus,Calanus glacialis,1
Calanus finnmarchicus,Calanus hyperboreus,1
Calanus finnmarchicus,Pseudocalanus,1
Calanus finnmarchicus,Oithona similis,1
Calanus finnmarchicus,Fritillaria,1
Calanus finnmarchicus,Clione limacina,1
Calanus finnmarchicus,Limacina helicina,1
Calanus finnmarchicus,Gaidius tenuispinus,1
Calanus finnmarchicus,Xanthocalanus,1
Calanus finnmarchicus,POM,1
Calanus finnmarchicus,Phytodetritus,1
Onacea borealis,Phaeocystis pouchetii,1
Onacea borealis,Chaetoceros socialis,1
Onacea borealis,Thalassiosira nordenskioeldii,1
Onacea borealis,Fragilariopsis,1
Onacea borealis,Protoperidinium,1
Onacea borealis,Gymnodinium,1
Onacea borealis,Dinobryon balticum,1
Onacea borealis,Thalassiosira antarctica,1
Onacea borealis,Cylindrotheca closterium,1
Onacea borealis,Chaetoceros,1
Onacea borealis,Coccolithus pleagicus,1
Onacea borealis,Globoquadriana pachyderma,1
Onacea borealis,Globigerinita bradyi,1
Onacea borealis,Globigerina quinqueloba,1
Onacea borealis,Nitzschia frigida,1
Onacea borealis,Pleurosigma stuxbergii,1
Onacea borealis,Navicula pelagica,1
Onacea borealis,Entomoneis,1
Onacea borealis,Cocconeis,1
Onacea borealis,Dinophysis acuta,1
Onacea borealis,POM,1
Onacea borealis,Phytodetritus,1
Bradyidius similis,Phaeocystis pouchetii,1
Bradyidius similis,Chaetoceros socialis,1
Bradyidius similis,Thalassiosira nordenskioeldii,1
Bradyidius similis,Fragilariopsis,1
Bradyidius similis,Protoperidinium,1
Bradyidius similis,Gymnodinium,1
Bradyidius similis,Dinobryon balticum,1
Bradyidius similis,Thalassiosira antarctica,1
Bradyidius similis,Cylindrotheca closterium,1
Bradyidius similis,Chaetoceros,1
Bradyidius similis,Coccolithus pleagicus,1
Bradyidius similis,Globoquadriana pachyderma,1
Bradyidius similis,Globigerinita bradyi,1
Bradyidius similis,Globigerina quinqueloba,1
Bradyidius similis,Nitzschia frigida,1
Bradyidius similis,Pleurosigma stuxbergii,1
Bradyidius similis,Navicula pelagica,1
Bradyidius similis,Entomoneis,1
Bradyidius similis,Cocconeis,1
Bradyidius similis,Dinophysis acuta,1
