NodeID,Species,FeedingType,Mobility,Environment
1,Phaeocystis pouchetii,none,1,pelagic
2,Chaetoceros socialis,none,1,pelagic
3,Thalassiosira nordenskioeldii,none,1,pelagic
4,Fragilariopsis,none,1,pelagic
5,Protoperidinium,none,1,pelagic
6,Gymnodinium,none,1,pelagic
7,Dinobryon balticum,none,2,pelagic
8,Thalassiosira antarctica,none,1,pelagic
9,Cylindrotheca closterium,none,1,pelagic
10,Chaetoceros,none,1,pelagic
11,Coccolithus pleagicus,none,1,pelagic
12,Globoquadriana pachyderma,none,1,pelagic
13,Globigerinita bradyi,none,1,pelagic
14,Globigerina quinqueloba,none,1,pelagic
15,Nitzschia frigida,none,1,pelagic
16,Pleurosigma stuxbergii,none,1,pelagic
17,Navicula pelagica,none,1,pelagic
18,Entomoneis,none,1,pelagic
19,Cocconeis,none,1,pelagic
20,Dinophysis acuta,none,1,pelagic
21,Gyrodinium,predator,2,pelagic
22,Calanus finnmarchicus,predator,4,pelagic
23,Onacea borealis,predator,4,pelagic
24,Bradyidius similis,predator,4,pelagic
25,Microcalanus pusillus,predator,4,pelagic
26,Copepoda nauplii,predator,4,pelagic
27,Metridia longa,predator,4,pelagic
28,Metridia lucens,predator,4,pelagic
29,Calanus glacialis,predator,4,pelagic
30,Calanus hyperboreus,predator,4,pelagic
31,Pseudocalanus,predator,4,pelagic
32,Oithona similis,predator,4,pelagic
33,Fritillaria,predator,4,pelagic
34,Clione limacina,predator,4,pelagic
35,Limacina helicina,predator,4,pelagic
36,Gaidius tenuispinus,predator,4,pelagic
37,Xanthocalanus,predator,4,pelagic
38,Thysanoessa raschii,predator,4,pelagic
39,Thysanoessa longicaudata,predator,4,pelagic
40,Thysanoessa inermis,grazer,4,epipelagic/ice associated
41,Themisto libellula,predator,4,pelagic
42,Themisto abyssorum,predator,4,pelagic
43,Boremysis arctica,predator,4,pelagic
44,Neoscolecithrix farrani,grazer,4,benthic
45,Mertensia ovum,predator,4,pelagic
46,Beroe cucumis,predator,4,pelagic
47,Meganyctiphanes norvegica,predator,4,pelagic
48,Boreomysis arctica,predator,4,benthic
49,Fucus distichus,none,1,benthic
50,Pylaiella littoralis,none,1,benthic
51,Chordaria flagelliformis,none,1,benthic
52,Acrosiphonia,none,1,benthic
53,Alaria esculenta,none,1,benthic
54,Laminaria saccharina,none,1,benthic
55,Laminaria digitata,none,1,benthic
56,Saccorhiza dermatodea,none,1,benthic
57,Laminaria solidungula,none,1,benthic
58,Phycodrys rubens,none,1,benthic
59,Ptilta gunneri,none,1,benthic
60,Fimbrifolium dichotomum,none,1,benthic
61,Desmarestia aculeata,none,1,benthic
62,Palmaria palmata,none,1,benthic
63,Devaleraea ramentacea,none,1,benthic
64,Turnerella pennyi,none,1,benthic
65,Desmarestia viridis,none,1,benthic
66,Balanus balanus,suspension feeder,1,benthic
67,Semibalanus balanoides,suspension feeder,1,benthic
68,Littorina saxatilis,predator,2,benthic
69,Ischyroceros,grazer,3,benthic
70,Gammarus setosus,grazer,3,benthic
71,Gammarellus homari,predator,3,benthic
72,Onisimus littoralis,grazer,3,benthic
73,Anonyx nugax,predator,3,benthic
74,Anonyx sarsi,predator,3,benthic
75,Arrhis phyllonyx,predator,3,benthic
76,Brachydiastylis resima,grazer,3,benthic
